static_text,log_level,preprocessed_text
GroupBasedLoadBalancer is now online,info,groupbasedloadbalanc onlin
"RSGroup table= |  is online, refreshing cached information",info,rsgroup onlin refresh cach inform
Not alive ,info,aliv
Waiting on ,info,wait
Waiting on ,info,wait
"HealthChecker initialized with script at  | , timeout=",info,healthcheck initi script
Health Check Chore runs every ,info,health check chore run everi
Health status at  |  : ,info,health statu
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
$$$Empty Message$$$,error,empti messag
Error reading data from zookeeper for path ,error,error read data zookeep path
Error deserializing namespace child from: ,error,error deseri namespac child
Failed updating permissions for namespace ,error,fail updat permiss namespac
Failed updating permissions for namespace ,error,fail updat permiss namespac
"rmiSSL: | ,authenticate: | ,passwordFile: | ,accessFile:",info,rmissl authent passwordfil accessfil
ConnectorServer started!,info,connectorserv start
fail to start connector server!,error,fail start connector server
ConnectorServer stopped!,info,connectorserv stop
"Master rmiRegistryPort: | ,Master rmiConnectorPort:",info,master rmiregistryport master rmiconnectorport
"RegionServer rmiRegistryPort: | ,RegionServer rmiConnectorPort:",info,regionserv rmiregistryport regionserv rmiconnectorport
JMXListener should not be loaded in Region Environment!,error,jmxlisten load region environ
JMXListener has been started at Registry port ,info,jmxlisten start registri port
No archive directory could be found because tabledir ( | ) or regiondir ( | was null. Deleting files instead.,error,archiv directori could found tabledir regiondir null delet file instead
"Could not rename archive file to backup:  | , deleting existing file in favor of newer.",error,could renam archiv file backup delet exist file favor newer
Failed to archive ,error,fail archiv
Failed to delete *,error,fail delet
"Failed to lookup status of: | , keeping it just incase.",error,fail lookup statu keep incas
Error while configuring ,error,error configur
Error while configuring ,error,error configur
Stopping ,info,stop
Failed to update tables to archive,error,fail updat tabl archiv
Lock already queued : ,info,lock alreadi queu
Acquired ,info,acquir
Failed acquire in %s %s of %s,info,fail acquir
"Heartbeat failed, releasing ",error,heartbeat fail releas
"Interrupted, releasing ",error,interrupt releas
Starting to notify all observers that config changed.,info,start notifi observ config chang
Encountered a throwable while notifying observers:  |  of type :  | ( | ),error,encount throwabl notifi observ type
Finished loading  |  user Constraints on table: ,info,finish load user constraint tabl
retrying data watch on ,info,retri data watch
"task  |  preempted from  | , current task state and owner=",info,task preempt current task state
worker  |  acquired task ,info,worker acquir task
" znode does not exist, waiting for master to create",info,znode exist wait master creat
successfully transitioned task  |  to final state ,info,success transit task final state
logic error - end task  |   |  failed because task doesn't exist,error,logic error end task fail task exist
Resubmitting unassigned orphan task ,info,resubmit unassign orphan task
Skipping resubmissions of task  |  because threshold  |  reached,info,skip resubmiss task threshold reach
Resubmitting task ,info,resubmit task
Failed to delete node  |  and will retry soon.,info,fail delet node retri soon
"logic failure, rescan failure must not happen",error,logic failur rescan failur must happen
ZK session expired. Master is expected to shut down. Abandoning retries for  | action=,error,zk session expir master expect shut abandon retri
logic error - got null data ,error,logic error got null data
Task  |  entered state=,info,task enter
Task  |  entered state=,info,task enter
Task  |  entered state=,info,task enter
logic error - unexpected zk state for path =  |  data = ,error,logic error unexpect zk state path data
Done splitting ,info,done split
Task  |  acquired by ,info,task acquir
Found orphan task ,info,found orphan task
Found  |  orphan tasks and  |  rescan nodes,info,found orphan task rescan node
 does not exist. Either was created but deleted behind our |  back by another pending delete OR was deleted |  in earlier retry rounds. zkretries = ,info,exist either creat delet behind back anoth pend delet delet earlier retri round zkretri
Error stopping coprocessor ,error,error stop coprocessor
"System coprocessor * loaded, priority=*.",info,system coprocessor load
Cannot load coprocessor ,error,load coprocessor
$$$Empty Message$$$,error,empti messag
Removing coprocessor ' | ' from table ' | ',error,remov coprocessor tabl
Removing coprocessor ' | ' from  | environment,error,remov coprocessor environ
Uncaught exception when shutting down coprocessor ' | ',error,uncaught except shut coprocessor
$$$Empty Message$$$,error,empti messag
 had  |  on shutdown,info,shutdown
Cannot submit [ | ] because the executor is missing. |  Is this process shutting down?,error,submit executor miss process shut
Added  |  regions in META,info,ad region meta
Added  |  regions in META,info,ad region meta
Cannot place the secondary and tertiary |  region server for region ,error,place secondari tertiari region server region
"Cannot place the secondary, tertiary favored node for region ",error,place secondari tertiari favor node region
Failed to wrap filesystem: ,error,fail wrap filesystem
Added intercepting call to namenode#getBlockLocations so can do block reordering |  using class ,info,ad intercept call namenod getblockloc block reorder use class
couldn't create the link= |  for ,error,could creat
"dataLength= | , sizeWithHeader= | , checksumType= | , file= | , offset= | , headerSize= | , bytesPerChecksum=",info,
Error parsing command-line options,error,error pars option
Error parsing command-line options,error,error pars option
Error reading ,error,error read
Created cacheConfig:  |  |  with blockCache=,info,creat cacheconfig
"totalSize= | ,  | freeSize= | ,  | max= | ,  | blockCount= | ,  | accesses= | ,  | hits= | ,  | hitRatio= | 0 | ,  | ,  | cachingAccesses= | ,  | cachingHits= | ,  | cachingHitsRatio= | 0, | ,  | evictions= | ,  | evicted= | ,  | evictedPerRun=",info,
"Allocating onheap LruBlockCache size= | , blockSize=",info,alloc onheap lrublockcach
Creating external block cache of type: ,info,creat extern block cach type
Can't instantiate bucket cache,error,ca instanti bucket cach
Current pos =  | ; currKeyLen =  | ; currValLen =  | ; block limit =  | ; currBlock currBlockOffset =  | ; path=,error,current po currkeylen currvallen block limit currblock currblockoffset
"Evicting cached block with key  |  because of a data block encoding mismatch | ; expected:  | , actual:  | , path=",info,evict cach block key data block encod mismatch expect actual
"Allocating  | , on the path:",info,alloc path
Can't create bucket cache file ,error,ca creat bucket cach file
Can't extend bucket cache file; insufficient space for ,error,ca extend bucket cach file insuffici space
Can't shutdown cleanly,error,ca shutdown cleanli
Can't shutdown cleanly,error,ca shutdown cleanli
"Allocating cache  | , on the path:",info,alloc cach path
Failed allocating cache on ,error,fail alloc cach
Failed closing  |  when shudown the IOEngine,error,fail close shudown ioengin
"Instantiating BucketCache with acceptableFactor:  | , minFactor:  | , extraFreeFactor:  | , singleFactor:  | , multiFactor:  | , memoryFactor: ",info,instanti bucketcach acceptablefactor minfactor extrafreefactor singlefactor multifactor memoryfactor
Can't restore from file because of,error,ca restor file
Can't restore from file in rebuild because can't deserialise,error,ca restor file rebuild ca deserialis
"Started bucket cache; ioengine= | , capacity= | , blockSize= | , writerThreadNum= | , writerQLen= | , persistencePath= | , bucketAllocator=",info,start bucket cach
Failed reading block  |  from bucket cache,error,fail read block bucket cach
"failedBlockAdditions= | ,  | totalSize= | ,  | freeSize= | ,  | usedSize= | ,  | cacheSize= | ,  | accesses= | ,  | hits= | ,  | IOhitsPerSecond= | ,  | IOTimePerHit= | %.2f | ,  | hitRatio= | 0, | ,  | cachingAccesses= | ,  | cachingHits= | ,  | cachingHitsRatio= | 0, | ,  | evictions= | ,  | evicted= | ,  | evictedPerRun=",info,
WriterThread encountered error,error,writerthread encount error
" exiting, cacheEnabled=",info,exit
Failed writing to bucket cache,error,fail write bucket cach
Failed syncing IO engine,error,fail sync io engin
"IO errors duration time has exceeded  | ms, disabling cache, please check your IOEngine",error,io error durat time exceed ms disabl cach pleas check ioengin
