static_text,log_level,preprocessed_text
Can't write znode file ,warn,ca write znode file
String  |  has wrong format,warn,string wrong format
Can't connect to zookeeper to read the master znode,warn,ca connect zookeep read master znode
Can't find the znode file; presume non-fatal,warn,ca find znode file presum
Can't read the content of the znode file,warn,ca read content znode file
ZooKeeper exception deleting znode,warn,zookeep except delet znode
fail to start connector server!,error,fail start connector server
JMXListener should not be loaded in Region Environment!,error,jmxlisten load region environ
No archive directory could be found because tabledir ( | ) or regiondir ( | was null. Deleting files instead.,error,archiv directori could found tabledir regiondir null delet file instead
"Passed filesystem is null, so just deleting files without archiving for *,family=*",warn,pass filesystem null delet file without archiv
Couldn't archive  |  into backup directory: ,warn,could archiv backup directori
Failed to archive *,warn,fail archiv
"Could not rename archive file to backup:  | , deleting existing file in favor of newer.",error,could renam archiv file backup delet exist file favor newer
Failed to create directory *,warn,fail creat directori
Failed to archive  |  because it does not exist! Skipping and continuing on.,warn,fail archiv exist skip continu
Failed to archive  |  on try #,warn,fail archiv tri
Failed to archive ,error,fail archiv
Failed to delete *,error,fail delet
"Failed to lookup status of: | , keeping it just incase.",error,fail lookup statu keep incas
Error while configuring ,error,error configur
Error while configuring ,error,error configur
"Couldn't read zookeeper data for table for path: | , not preserving a table.",warn,could read zookeep data tabl path preserv tabl
Failed to update tables to archive,error,fail updat tabl archiv
Failed to watch for archiving znode,warn,fail watch archiv znode
Delete restore directory for the snapshot failed. restoreDir: ,warn,delet restor directori snapshot fail restoredir
Could not delete restore directory for the snapshot. restoreDir: ,warn,could delet restor directori snapshot restoredir
Exception while closing scanner,warn,except close scanner
Exception while closing region,warn,except close region
"Heartbeat failed, releasing ",error,heartbeat fail releas
"Interrupted, releasing ",error,interrupt releas
Encountered a throwable while notifying observers:  |  of type :  | ( | ),error,encount throwabl notifi observ type
"Corrupted configuration found for key: | ,  skipping it.",warn,corrupt configur found key skip
Failed parse,warn,fail pars
Failed to get data for znode ,warn,fail get data znode
Failed parse data for znode ,warn,fail pars data znode
Interrupted while yielding for other region servers,warn,interrupt yield region server
Failed to heartbeat the task,warn,fail heartbeat task
zk.setData() returned null for path ,warn,return null path
NONODE failed to assert ownership for ,warn,nonod fail assert ownership
BADVERSION failed to assert ownership for ,warn,badvers fail assert ownership
failed to assert ownership for ,warn,fail assert ownership
Interrupted while trying to assert ownership of  |  ,warn,interrupt tri assert ownership
"Could not get tasks, did someone remove  |  ... worker thread exiting.",warn,could get task someon remov worker thread exit
Could not get children of znode ,warn,could get children znode
Exception when checking for  |  ... retrying,warn,except check retri
getdata rc =  |  ,warn,getdata rc
failed to transistion task  |  to end state  |  because of version mismatch ,warn,fail transist task end state version mismatch
transisition task  |  to  |  failed because of version mismatch,warn,transisit task fail version mismatch
logic error - end task  |   |  failed because task doesn't exist,error,logic error end task fail task exist
"failed to end task,  |  ",warn,fail end task
Could not finish splitting of log file ,warn,could finish split log file
Failed to check remaining tasks,warn,fail check remain task
"logic failure, rescan failure must not happen",error,logic failur rescan failur must happen
ZK session expired. Master is expected to shut down. Abandoning retries for  | action=,error,zk session expir master expect shut abandon retri
Failed to create task node ,warn,fail creat task node
logic error - got null data ,error,logic error got null data
logic error - unexpected zk state for path =  |  data = ,error,logic error unexpect zk state path data
Failed to set data watch ,warn,fail set data watch
Error splitting ,warn,error split
Could not get children of ,warn,could get children
Could not get children of  |  ,warn,could get children
Failed to resubmit because znode doesn't exist  |  task done (or forced done by removing the znode),warn,fail resubmit znode exist task done forc done remov znode
Failed to resubmit ,warn,fail resubmit
Create rc= |  for  |  remaining retries=,warn,creat remain
Task znode  |  vanished or not created yet.,warn,task znode vanish creat yet
Getdata rc= |   | . Ignoring error. No error handling. No retrying.,warn,getdata ignor error error handl retri
Getdata rc= |   |  remaining retries=,warn,getdata remain
Deserialization problem,warn,deseri problem
Delete rc= |  for  |  remaining retries=,warn,delet remain
Delete failed ,warn,delet fail
rc= |  for  |  remaining retries=,warn,remain
Not starting coprocessor  |  because not inactive (state= | ),warn,start coprocessor inact
Error stopping coprocessor ,error,error stop coprocessor
Not stopping coprocessor  |  because not active (state= | ),warn,stop coprocessor activ
Attempted duplicate loading of  | ; skipped,warn,attempt duplic load skip
Attempted duplicate loading of *; skipped,warn,attempt duplic load skip
Cannot load coprocessor ,error,load coprocessor
$$$Empty Message$$$,error,empti messag
"No available Abortable, process was not aborted",warn,avail abort process abort
Removing coprocessor ' | ' from table ' | ',error,remov coprocessor tabl
Removing coprocessor ' | ' from  | environment,error,remov coprocessor environ
Uncaught exception when shutting down coprocessor ' | ',error,uncaught except shut coprocessor
"Timer already marked completed, ignoring!",warn,timer alreadi mark complet ignor
"Timer already started, can't be started again. Ignoring second request.",warn,timer alreadi start ca start ignor second request
"Timer already completed, not triggering.",warn,timer alreadi complet trigger
$$$Empty Message$$$,error,empti messag
Cannot submit [ | ] because the executor is missing. |  Is this process shutting down?,error,submit executor miss process shut
Non-EventHandler  |  queued in ,warn,queu
Non-EventHandler  |  running in ,warn,run
Not running balancer since exception was thrown ,warn,run balanc sinc except thrown
Encountered exception while doing favored-nodes assignment  |  Falling back to regular assignment,warn,encount except assign fall back regular assign
Encountered exception while doing favored-nodes (random)assignment  |  Falling back to regular assignment,warn,encount except random assign fall back regular assign
Cannot place the favored nodes for region  |  because ,warn,place favor node region
Cannot place the favored nodes for region  |  because ,warn,place favor node region
Cannot place the secondary and tertiary |  region server for region ,error,place secondari tertiari region server region
"Cannot place the secondary, tertiary favored node for region ",error,place secondari tertiari favor node region
failed to get block storage policy of [ | ],warn,fail get block storag polici
Failed to wrap filesystem: ,error,fail wrap filesystem
Can't get the file system from the conf.,warn,ca get file system conf
"The DistributedFileSystem does not contain a DFSClient. Can't add the location block reordering interceptor. Continuing, but this is unexpected.",warn,distributedfilesystem contain dfsclient ca add locat block reorder interceptor continu unexpect
"The DFSClient is not linked to a namenode. Can't add the location block reordering interceptor. Continuing, but this is unexpected.",warn,dfsclient link namenod ca add locat block reorder interceptor continu unexpect
Can't modify the DFSClient#namenode field to add the location reorder.,warn,ca modifi dfsclient namenod field add locat reorder
